Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
2009-05-29,0.064,0.033,0.051,0.125,0.054,0.029,0.056,0.002,-0.027,0.011
2009-06-30,0.002,0.004,0.002,-0.013,-0.003,0.013,0.002,-0.002,-0.002,-0.002
2009-07-31,0.032,0.015,0.025,0.099,0.077,0.095,0.076,0.002,0.005,0.001
2009-08-31,0.014,0.011,0.013,0.001,0.044,0.028,0.036,0.004,0.01,-0.002
2009-09-30,0.032,0.017,0.028,0.063,0.022,0.056,0.037,0.002,0.011,0.007
2009-10-30,-0.007,-0.001,-0.002,-0.004,-0.023,-0.069,-0.019,0.003,-0.004,0.003
2009-11-30,0.016,0.008,0.015,0.033,0.002,0.03,0.06,0.006,0.018,0.001
2009-12-31,0.021,0.008,0.013,0.042,0.056,0.079,0.019,-0.008,-0.049,-0.003
2010-01-29,-0.013,-0.004,-0.008,-0.044,-0.034,-0.037,-0.036,0.008,0.022,0.001
2010-02-26,0.009,0.001,0.007,-0.001,0.005,0.044,0.031,0.002,0.005,0.003
2010-03-31,0.032,0.017,0.025,0.062,0.075,0.08,0.06,-0.003,-0.017,0.007
2010-04-30,0.012,0.009,0.012,0.001,-0.012,0.056,0.016,0.003,0.017,0.007
2010-05-31,-0.04,-0.026,-0.029,-0.052,-0.072,-0.077,-0.08,0.005,0.032,0.008
2010-06-30,-0.018,-0.009,-0.01,-0.005,-0.028,-0.079,-0.052,0.004,0.032,-0.005
2010-07-30,0.024,0.008,0.016,0.062,0.047,0.068,0.07,0.002,0.006,0.006
2010-08-31,-0.014,0.001,-0.001,-0.014,-0.027,-0.075,-0.045,0.002,0.04,-0.007
2010-09-30,0.047,0.023,0.035,0.077,0.052,0.123,0.089,0.002,-0.001,0.011
2010-10-29,0.024,0.015,0.021,0.023,0.018,0.04,0.038,0.002,-0.006,0.005
2010-11-30,0.006,-0.001,0.002,-0.011,-0.01,0.034,0,-0.002,-0.01,-0.008
2010-12-31,0.035,0.022,0.029,0.045,0.048,0.078,0.067,-0.002,-0.04,0.006
2011-01-31,0.004,0.001,0.004,-0.021,0.016,-0.003,0.024,0.002,-0.004,-0.007
2011-02-28,0.013,0.008,0.012,-0.014,0.024,0.054,0.034,-0.001,0,-0.002
2011-03-31,0.005,-0.001,0.001,0.043,-0.028,0.024,0,-0.001,0,0.011
2011-04-29,0.013,0.012,0.015,0.008,0.02,0.026,0.03,0.005,0.016,0.017
2011-05-31,-0.013,-0.011,-0.012,-0.016,-0.013,-0.02,-0.011,0.004,0.027,-0.009
2011-06-30,-0.013,-0.013,-0.012,-0.019,-0.012,-0.025,-0.017,0.001,-0.007,-0.008
2011-07-29,-0.003,0.004,0.002,-0.009,-0.035,-0.037,-0.02,0.002,0.033,0.006
2011-08-31,-0.049,-0.026,-0.032,-0.073,-0.087,-0.088,-0.054,0.004,0.057,-0.012
2011-09-30,-0.06,-0.028,-0.039,-0.074,-0.043,-0.114,-0.07,-0.001,0.028,0.014
2011-10-31,0.049,0.011,0.027,0.091,0.062,0.15,0.109,0,-0.02,0
2011-11-30,-0.02,-0.01,-0.013,-0.038,-0.025,-0.005,-0.002,0,0.013,0.01
2011-12-30,-0.009,-0.004,-0.004,0,0.005,0.005,0.01,0,0.02,0.003
2012-01-31,0.038,0.019,0.026,0.074,0.039,0.07,0.045,0.001,0.008,0
