Date,Market,Risk Free,Small,Big,High B/M,Low B/M,Winner,Loser
,Mkt,Rf,S,B,H,L,U,D
195002,1.46,0.09,1.23,1.29,0.61,1.52,2.39,1.04
195003,1.22,0.1,-0.11,1.06,-0.66,2.09,1.35,-0.19
195004,4.03,0.09,6.2,4.27,6.51,5,5.32,4.94
195005,4.37,0.1,2.41,4.44,3.5,3.02,4.11,3.74
195006,-5.79,0.1,-7.89,-5.37,-6.98,-6.15,-7.59,-5.92
195007,1.61,0.1,5.35,4.76,12.16,-0.95,2.91,3.33
195008,5.07,0.1,5.15,4.26,4.11,5.19,7.22,4.02
195009,4.88,0.1,5.16,4.67,4.8,5.6,5.38,5.45
195010,-0.11,0.12,0.11,0.43,1.09,0.18,0.6,-0.82
195011,2.85,0.11,2.42,3.3,4.67,1.1,4.11,0.44
195012,5.77,0.11,8.28,6.76,11.26,4.28,9.21,4.31
195101,5.82,0.13,8.21,6.44,9.87,5.78,8.28,6.27
195102,1.44,0.1,0.95,0.92,-0.82,2.08,0.73,2.4
195103,-2.09,0.11,-3.28,-2.75,-5.19,-0.96,-4.38,-1.39
195104,4.96,0.13,3.98,5.58,6.54,3.06,7.23,1.2
195105,-2.26,0.12,-2.6,-2.55,-3.36,-2.22,-2.91,-2.03
195106,-2.53,0.12,-5.31,-3.38,-7.09,-3.12,-4.88,-2.46
195107,7.12,0.13,5.71,7.69,8.15,6,10.65,3.36
195108,4.51,0.13,5.33,4.47,4.81,4.88,5.28,4.39
195109,0.92,0.12,2.78,0.78,2.18,1.54,1.67,1.18
195110,-2.24,0.16,-2.33,-2.03,-2.53,-2.86,-2.42,-2.1
195111,0.59,0.11,0.4,0.7,0.54,0.45,0.88,0.21
195112,3.49,0.12,0.96,3.13,1.05,2.79,3.04,1.32
195201,1.69,0.15,1.64,2.23,2.58,1.02,2.79,1.38
195202,-2.5,0.12,-2,-2.75,-2.8,-1.98,-3.18,-2.43
195203,4.56,0.11,2.27,5.22,5.04,2.74,4.57,2.94
195204,-4.89,0.12,-4.52,-4.96,-4.75,-4.62,-6.08,-3.99
195205,3.29,0.13,2.39,3.35,3.03,3.17,3.12,2.62
195206,3.93,0.15,2.62,4.25,4.1,2.69,3.91,2.4
195207,1.15,0.15,0.96,1.24,0.81,1.28,0.77,1.28
195208,-0.66,0.15,0.39,-0.76,-0.31,-0.34,-0.01,-0.32
195209,-1.9,0.16,-1.01,-2.09,-2.36,-0.86,-1.14,-2.91
195210,-0.55,0.14,-1.38,-0.36,-1.15,-0.71,0.34,-2.42
195211,5.88,0.1,5.72,6.38,6.82,5.87,6.44,5.98
195212,3.12,0.16,1.87,3.33,2.81,2.64,3.27,1.75
195301,-0.13,0.16,3.77,0.13,2.63,1.52,1.75,1.05
195302,-0.17,0.14,1.76,-0.38,0.53,0.54,1.34,0.48
195303,-1.34,0.18,-1.8,-1.65,-2.37,-1.56,-1.62,-1.73
195304,-2.75,0.16,-2.22,-2.45,-1.54,-3.05,-1.71,-3.58
195305,0.71,0.17,0.78,0.83,1.05,0.76,1.21,0.27
195306,-1.67,0.18,-3.54,-1.61,-2.92,-2.48,-2.66,-2.63
195307,2.53,0.15,1.26,2.33,1.71,1.87,1.98,2.23
195308,-4.41,0.17,-5,-5.3,-7.17,-3.7,-4.18,-6.37
195309,0.31,0.16,-1.15,-0.21,-2.08,0.4,0.9,-1.99
195310,4.71,0.13,3.49,4.66,3.93,4.31,4.33,4.04
195311,2.83,0.08,1.53,2.9,2.12,2.31,3.26,1.36
195312,0.08,0.13,-1.37,-0.43,-2.53,0.24,1.16,-4.03
195401,5.25,0.11,6.62,5.94,8.12,4.57,3.83,9.58
195402,1.75,0.07,1.37,1.61,1.09,1.6,1.93,0.91
195403,3.73,0.08,2.59,3.19,1.99,3.33,4.51,2.36
195404,4.29,0.09,0.74,4.22,2.08,2.48,4.12,-0.83
195405,3.16,0.05,4.47,4.04,5.9,3.44,3.77,5.72
195406,1.15,0.06,1.19,0.82,1.14,1.1,2.23,-1.25
195407,5.04,0.05,7.15,6.17,9.05,4.8,6.29,5.63
195408,-2.25,0.05,-0.3,-2.97,-3,-1.39,-1.75,-0.96
195409,6.43,0.09,4.13,6.46,5.55,5.13,6.52,4.81
195410,-1.62,0.07,-0.38,-0.91,-0.22,-0.89,-0.32,-1.28
195411,9.53,0.06,8.57,11.15,12.48,8.48,10.01,8.11
195412,5.53,0.08,9.54,7.32,11.61,5.99,7.13,8.48
195501,0.7,0.08,1.64,1.35,2.89,0.91,1.77,0.44
195502,3.13,0.09,4.58,3.16,3.99,3.28,4.41,3.31
195503,-0.11,0.1,0.04,0.57,1.53,-0.41,0.91,-0.15
195504,3.23,0.1,1.57,3.36,3.37,2.5,1.81,1.9
195505,1.19,0.14,0.47,0.77,0.27,1.07,1.11,0.52
195506,6.58,0.1,2.93,7.43,6.1,4.46,7.15,2.46
195507,2.03,0.1,0.19,1.38,0.78,0.45,-0.44,0.81
195508,0.43,0.16,0.21,0.79,0.95,0.18,1.28,-0.51
195509,-0.2,0.16,-0.51,-0.85,-1.24,-0.44,1.08,-0.71
195510,-2.57,0.18,-1.13,-2.61,-2.2,-1.98,-2.38,-1.87
195511,7.16,0.17,5.38,7.65,7.61,7.14,7.67,4.96
195512,1.64,0.18,2.7,0.6,0.33,2.5,2.15,3.44
195601,-2.8,0.22,-2.1,-2.48,-2.14,-2.91,-3.11,-1.59
195602,3.95,0.19,2.79,3.7,3.06,3.34,4.44,2.46
195603,6.82,0.15,4.3,6.28,5.26,5.88,7.09,3.42
195604,0.51,0.19,0.68,0.79,0.65,0.6,1.57,-0.96
195605,-4.92,0.23,-4.08,-5.49,-5.73,-4.39,-5.11,-3.43
195606,3.72,0.2,1.76,3.01,1.51,2.8,4.19,1.42
195607,5.08,0.22,3.15,5.22,4.19,3.72,5.26,2.78
195608,-3.03,0.17,-0.83,-3.06,-2.66,-1.27,-2.63,-2.14
195609,-4.97,0.18,-2.87,-4.55,-2.91,-4.66,-4.64,-3.93
195610,0.72,0.25,0.79,0.97,0.8,0.93,1.94,-0.51
195611,0.46,0.2,1.3,1.25,1.88,0.19,2.41,-1.02
195612,3.49,0.24,2.24,2.5,1.26,3.34,5.19,1.36
