Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
12/31/09,2.10%,0.80%,1.30%,4.20%,5.60%,7.90%,1.90%,-0.80%,-4.90%,-0.30%
1/29/10,-1.30%,-0.40%,-0.80%,-4.40%,-3.40%,-3.70%,-3.60%,0.80%,2.20%,0.10%
2/26/10,0.90%,0.10%,0.70%,-0.10%,0.50%,4.40%,3.10%,0.20%,0.50%,0.30%
3/31/10,3.20%,1.70%,2.50%,6.20%,7.50%,8.00%,6.00%,-0.30%,-1.70%,0.70%
4/30/10,1.20%,0.90%,1.20%,0.10%,-1.20%,5.60%,1.60%,0.30%,1.70%,0.70%
5/31/10,-4.00%,-2.60%,-2.90%,-5.20%,-7.20%,-7.70%,-8.00%,0.50%,3.20%,0.80%
6/30/10,-1.80%,-0.90%,-1.00%,-0.50%,-2.80%,-7.90%,-5.20%,0.40%,3.20%,-0.50%
7/30/10,2.40%,0.80%,1.60%,6.20%,4.70%,6.80%,7.00%,0.20%,0.60%,0.60%
8/31/10,-1.40%,0.10%,-0.10%,-1.40%,-2.70%,-7.50%,-4.50%,0.20%,4.00%,-0.70%
9/30/10,4.70%,2.30%,3.50%,7.70%,5.20%,12.30%,8.90%,0.20%,-0.10%,1.10%
10/29/10,2.40%,1.50%,2.10%,2.30%,1.80%,4.00%,3.80%,0.20%,-0.60%,0.50%
11/30/10,0.60%,-0.10%,0.20%,-1.10%,-1.00%,3.40%,0.00%,-0.20%,-1.00%,-0.80%
12/31/10,3.50%,2.20%,2.90%,4.50%,4.80%,7.80%,6.70%,-0.20%,-4.00%,0.60%
1/31/11,0.40%,0.10%,0.40%,-2.10%,1.60%,-0.30%,2.40%,0.20%,-0.40%,-0.70%
2/28/11,1.30%,0.80%,1.20%,-1.40%,2.40%,5.40%,3.40%,-0.10%,0.00%,-0.20%
3/31/11,0.50%,-0.10%,0.10%,4.30%,-2.80%,2.40%,0.00%,-0.10%,0.00%,1.10%
4/29/11,1.30%,1.20%,1.50%,0.80%,2.00%,2.60%,3.00%,0.50%,1.60%,1.70%
5/31/11,-1.30%,-1.10%,-1.20%,-1.60%,-1.30%,-2.00%,-1.10%,0.40%,2.70%,-0.90%
6/30/11,-1.30%,-1.30%,-1.20%,-1.90%,-1.20%,-2.50%,-1.70%,0.10%,-0.70%,-0.80%
7/29/11,-0.30%,0.40%,0.20%,-0.90%,-3.50%,-3.70%,-2.00%,0.20%,3.30%,0.60%
8/31/11,-4.90%,-2.60%,-3.20%,-7.30%,-8.70%,-8.80%,-5.40%,0.40%,5.70%,-1.20%
9/30/11,-6.00%,-2.80%,-3.90%,-7.40%,-4.30%,-11.40%,-7.00%,-0.10%,2.80%,1.40%
10/31/11,4.90%,1.10%,2.70%,9.10%,6.20%,15.00%,10.90%,0.00%,-2.00%,0.00%
11/30/11,-2.00%,-1.00%,-1.30%,-3.80%,-2.50%,-0.50%,-0.20%,0.00%,1.30%,1.00%
12/30/11,-0.90%,-0.40%,-0.40%,0.00%,0.50%,0.50%,1.00%,0.00%,2.00%,0.30%
1/31/12,3.80%,1.90%,2.60%,7.40%,3.90%,7.00%,4.50%,0.10%,0.80%,0.00%
