Fund Name,Firm Name,Fund Size US$ Bil.,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,SECID,Firm Total Assets,Firm Total Assets Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B57,"669,983,947.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04H8F,"1,495,300,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ML13,"418,177,219.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MEF8,"753,707,882.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000FHG,"1,058,191,501.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06S45,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08R9Y,"4,013,300,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ARC,"323,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MDAA,"1,854,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08P2J,"873,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HK2,"371,800,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0800P,"4,300,633,229.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AO9,"558,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B2T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BLO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KW8,"171,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IAQ,"71,827,000,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZT3,"614,435,567.00",8/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MJT,"17,100,000,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F4V,"1,332,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LCC,"21,203,625,001.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04COT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H565,"411,351,380.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F4Y,"1,332,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GWIU,"211,908,860.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HQ3,"2,590,000,000.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06O29,"1,399,943,233.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AHY,"645,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HBJ,"2,100,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CBR,"3,272,106.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUPL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IR1,"278,369,079.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L3R,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MUW,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MEXC,"1,520,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HXO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NFFW,"4,900,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NFFU,"4,900,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9PJ,"4,900,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9PL,"4,900,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FYW,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OWT,"2,040,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IZYS,"156,914,737.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IZYR,"156,914,737.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FKE,"41,500,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IEK,"1,221,588,345.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06LP3,"1,221,588,345.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G3J,"630,769,265.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ETR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA088MW,"5,805,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C1U,"1,800,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09L6X,"422,520,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09L7V,"422,520,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GWEY,"1,203,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CLW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G4N,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G74,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GW98,"6,186,841,665.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06R5C,"1,300,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06R5D,"1,300,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06R3D,"1,300,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F3D,"2,869,402,762.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LHJ,"2,869,402,762.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AFC,"6,405,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H0KN,"2,021,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08XLB,"1,854,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ADR,"398,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GVZ6,"2,130,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MA74,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Y9L,"148,486,742.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LOVJ,"14,200,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B1C,"3,211,905,835.00",6/30/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B22,"3,211,905,835.00",6/30/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AMM,"318,314,353.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FOI,"7,684,278,363.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FOJ,"7,684,278,363.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0000007V2,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CDB,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06TSW,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AGV,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NANX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F86,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000J52X,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000J7AD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GRM,"191,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA088YI,"287,270,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G8Y,"415,759,726.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06UHW,"2,641,823,366.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0000001QU,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0000001QV,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MCH,"3,300,000,000.00",9/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KHG,"9,138,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JSMA,"307,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IFD,"537,613,698.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05J4J,"537,613,698.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MJZ2,"165,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HYO,"1,600,000,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09L7W,"422,520,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A7F,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06ETX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000EZD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ITQH,"45,900,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FRT,"1,332,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KH1,"1,332,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EPF,"286,495,193.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06UDS,"3,211,905,835.00",6/30/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06UDU,"3,211,905,835.00",6/30/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FDO,"1,546,075,488.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B8R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B8S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BLP,"400,229,880.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EPE,"286,495,193.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BG5,"2,590,000,000.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BEF,"2,590,000,000.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I7Z,"2,590,000,000.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ITY9,"580,755,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09GEG,"1,300,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GYED,"7,000,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FDP,"1,546,075,488.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CBY,"698,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CZ9,"2,171,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LEE,"272,194,052.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MJYR,"1,500,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KWW,"318,314,353.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BAF,"1,350,000,000.00",2/28/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BAH,"1,350,000,000.00",2/28/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CXH,"1,350,000,000.00",2/28/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06LH7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C6L,"2,533,252,588.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G4L,"1,032,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I78,"2,040,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06SFC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06SFD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H6RG,"664,700,000.00",4/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07XYQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GMC,"959,480,906.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KXZ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IQG,"175,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JSL5,"307,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06OCD,"947,704,929.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GVZB,"133,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L5X,"244,560,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MV1,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BQC,"2,040,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MQ2G,"1,600,000,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GWEN,"1,203,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ACC,"2,171,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L2V,"243,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LILZ,"95,600,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H6FJ,"495,567,498.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H6FI,"495,567,498.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IRP,"4,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LZ6T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MGFD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L2Z,"394,100,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BBB,"150,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06M1K,"750,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06PBK,"240,000,000.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06XQ3,"640,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GB4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0902A,"1,190,847,244.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F4C,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FRF,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G7E,"1,782,500,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0893E,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000002QLF,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MHRE,"1,711,790,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LPOP,"1,711,790,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ALQ,"2,171,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HNR,"500,000,000.00",9/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DQQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZBB,"650,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HLAY,"650,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HLB3,"650,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06ABG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06ABH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000EZH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J18,"496,781,298.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N51L,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N4YH,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N5IW,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FPC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9OJ,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRRI,"530,335,686.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRS2,"530,335,686.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06XRU,"203,516,495.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CC3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LIZ,"2,740,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HKG,"455,760,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DMC,"603,065,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BM1,"41,163,300,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JVOO,"125,900,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SQI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AC6,"426,500,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MJM4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09L7X,"185,138,552.00",9/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LID9,"422,520,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AM7,"415,759,726.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AM8,"415,759,726.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CB2,"4,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AJ0,"218,691,820.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HZK,"124,200,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DVD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DNS,"288,500,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D0M,"947,704,929.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HLAK,"1,713,194,761.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GUK,"160,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09GQG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ADB,"62,954,097,367.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MILE,"2,270,017,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DIE,"1,300,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I81,"2,590,000,000.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRIN,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRIO,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRIM,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MOMV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C1P,"107,134,468.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QQS,"324,597,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LZ7E,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MG6A,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08NBV,"95,600,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EJU,"72,981,562,178.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C7W,"134,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HUD,"1,600,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SP8,"1,221,588,345.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OPM,"484,700,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR04ND7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR0619S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA090C7,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFQ,"1,003,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KZR,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EZD,"119,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N51B,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N51A,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F4W,"1,332,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BED,"129,430,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000J5E6,"1,058,191,501.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B40,"6,623,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CX1,"347,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06GON,"1,131,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05TZX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06GOR,"852,350,276.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D0L,"947,704,929.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06N18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09F8Y,"2,716,862,901.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GSP,"90,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA085YS,"6,900,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06GOT,"852,350,276.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUIA,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUIB,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUI9,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUIC,"740,100,000.00",8/31/11
